Date,Open,High,Low,Close,Volume,Market Cap
Nov-27-2021,4099.295458301602,4300.929187517085,4007.493924007929,4300.929187517085,35456327388.44444,485625557108.40845
Nov-26-2021,4042.2979633897216,4184.982233264034,4042.2979633897216,4082.366357992869,45184787050.666664,489113105108.65125
Nov-25-2021,4524.3324603908,4544.8713514456485,3946.249773969944,4048.131895970803,49447816746.666664,498984137167.2645
Nov-24-2021,4276.9243,4550.477718779292,4263.4167,4525.307417931792,35422437674.666664,521717529111.2017
Nov-23-2021,4345.398588245484,4373.9907,4186.995669721616,4267.1911,32144551872,505994321914.97626
Nov-22-2021,4098.833945538736,4387.332044193312,4077.5573,4355.124816760217,33298571313.77778,500449652670.4553
Nov-21-2021,4280.02788794463,4300.1512,4050.1939657032303,4105.1047,25889685009.9021,496114950103.46954
Nov-20-2021,4417.183082491513,4418.946412151297,4284.636769940774,4284.636769940774,20657591516.444443,516625645121.83374
Nov-19-2021,4300.9138805132,4436.529986422346,4227.782144520988,4422.128531286758,23245987662.22222,511810301053.68585
Nov-18-2021,4006.8030964585473,4307.1171,3998.3392,4294.152739005697,34323611555.555557,493348196002.005
Nov-17-2021,4291.5766,4343.115519984542,3973.6198,3995.3938,28548142542.22222,494855807713.33203
Nov-16-2021,4222.0718618430365,4292.0509,4106.563,4292.0509,34832910080,498078106078.68195
Nov-15-2021,4571.8677,4571.8677,4155.1316,4230.1812,38229605532.44444,510419922979.23047
Nov-14-2021,4634.113550400038,4770.282399667801,4555.681321864844,4575.842252768675,22289251496.27972,552895704459.3907
Nov-13-2021,4655.0937,4694.537514126889,4528.2011,4630.758968435111,17833173630.66202,545527382975.6899
Nov-12-2021,4677.051356781548,4704.316891203014,4597.248848921077,4658.156012516753,23889874876.20906,550282310477.0747
Nov-11-2021,4727.829420845446,4808.224,4529.32462586912,4677.705311073397,26261109916.444443,553461443381.2195
Nov-10-2021,4642.050923695175,4778.072303116837,4593.539136197657,4727.230918092841,35289895544.888885,556372385531.8075
Nov-09-2021,4739.446434240457,4867.173594094124,4548.1943,4637.645275427002,26262380366.22222,560685844087.3088
Nov-08-2021,4817.782386770097,4834.0028433064645,4727.7406,4736.7254,26270877096.585365,566926305532.6239
Nov-07-2021,4623.573969282661,4822.4666,4623.573969282661,4819.161293786869,24100025956.251747,561271186532.1271
Nov-06-2021,4521.470283637077,4638.961643167891,4514.492302576885,4619.167746375777,20506340693.333332,542340698434.5021
Nov-05-2021,4485.262593732431,4527.731,4349.2654,4515.412838669978,20576344970.666668,527839633171.4392
Nov-04-2021,4537.561460653615,4564.366712831694,4460.013326986349,4488.1321804851,24256463402.666668,533047984675.7006
Nov-03-2021,4603.645402494889,4603.645402494889,4433.68597749977,4535.317603043713,28082568959.108013,535413683577.02747
Nov-02-2021,4585.911150493974,4653.128730779269,4475.246964826769,4605.6244271349615,29633102307.555557,541078964139.7789
Nov-01-2021,4330.602975734566,4598.079618776445,4300.05164906807,4592.980814032476,25026544957.54704,523940744210.3162
Oct-31-2021,4295.127856493886,4374.995805164399,4178.051953099486,4337.678549681309,25023704490.666668,509350796493.3687
Oct-30-2021,4327.840655162599,4395.1307,4195.5043,4297.53169998587,23144903765.333332,507009035265.71497
Oct-29-2021,4414.742546465173,4418.937279592537,4269.350078905884,4315.823838736527,24115032526.22222,511919920928.49774
Oct-28-2021,4287.938859796452,4453.406627243186,4281.6430928356485,4411.123735735959,36124664853.333336,516027109957.9099
Oct-27-2021,3945.3471,4290.081035311788,3932.0774,4277.879612456707,33911031608.88889,487793034855.68677
Oct-26-2021,4137.8404,4298.627771478221,3951.9679851603705,3953.5218,35496672056.888885,481429930425.25745
Oct-25-2021,4221.854877342664,4285.80065989907,4129.0054,4144.227,21401297024,497207622792.7394
Oct-24-2021,4088.794759789565,4232.1457,4077.542826132751,4216.984185683597,22752207857.77778,491252700918.84015
Oct-23-2021,4167.6736,4180.6152,3978.221010296581,4084.265881710706,21419554595.555557,481680260999.83594
Oct-22-2021,3981.1377037070047,4164.092,3958.827078059567,4161.5046,24613138254.22222,478328127544.97174
Oct-21-2021,4067.36827332443,4165.484140174109,3927.8352436694,3980.6240479115754,35881919985.77778,480643376859.7345
Oct-20-2021,4158.800900432247,4360.0497,4048.796395559031,4075.5561179778015,41948811555.55556,491659342235.11066
Oct-19-2021,3884.143,4164.844166759179,3840.6040535096186,4164.844166759179,25564426396.444443,468018449166.1668
Oct-18-2021,3756.9331,3886.6498,3752.1008,3882.9354,23232424942.035088,449956534058.7912
Oct-17-2021,3856.226215032041,3892.961578299813,3716.5266317503606,3754.3723,25054686272.44755,448827563039.2581
Oct-16-2021,3836.379833356975,3911.724712276786,3703.54840089263,3856.7769893859513,20901648263.314285,453494588404.0179
Oct-15-2021,3874.766891154749,3966.7506,3814.4507,3842.72310861372,25330359719.349823,457578982328.7084
Oct-14-2021,3791.9876717500297,3897.732475574186,3748.689121481084,3874.388228902718,27764274438.28772,450716097050.6285
Oct-13-2021,3608.9164,3817.9563,3600.5729,3794.0518776720896,24671591984.848057,437947753846.00726
Oct-12-2021,3499.203294219242,3607.459328222844,3430.696860060744,3602.4665,22314184291.5053,413455343814.58276
Oct-11-2021,3542.1059609140025,3543.074442754636,3418.7842,3494.82021500588,24503337026.30216,411778540937.21765
Oct-10-2021,3429.6781,3617.7625034338735,3407.5698,3542.1059609140025,26114599353.441696,417997851754.9005
Oct-09-2021,3582.2060424830024,3604.3139940538263,3432.5308,3433.7703,20452277987.555557,418059407926.43646
Oct-08-2021,3567.8012,3630.750443616456,3553.3935971463047,3590.297313577324,20008727310.22222,423723521175.1543
Oct-07-2021,3592.201076583479,3668.2369165719774,3557.4779,3564.0715,24510042581.333332,425281199786.9824
Oct-06-2021,3585.050523030245,3653.393348962792,3496.608043600706,3594.659128928895,30544829464.97561,421737798620.80084
Oct-05-2021,3509.9409410189423,3624.167708118581,3367.561983036488,3590.824179012665,28165578716.444443,414381330634.6122
Oct-04-2021,3395.026,3528.9762679967694,3382.0503390089266,3509.114453474486,25529465585.77778,405005698574.11176
Oct-03-2021,3424.0484,3438.2525897409523,3299.1712449081115,3396.324,22691844920.88889,397336157346.2531
Oct-02-2021,3397.2497068743764,3483.7854630041397,3369.5059201536437,3423.3294,23648606208,402661231047.08417
Oct-01-2021,3313.7771406076204,3463.5459,3268.552550398857,3393.1203,26572499128.88889,394129116783.8396
Sep-30-2021,3007.802247227105,3327.892622263552,2988.687494287574,3307.919375969526,27033261098.666668,373053879927.9087
Sep-29-2021,2855.1193,3045.1343,2851.6814,3009.435707489463,24796819448.88889,352341441492.1697
Sep-28-2021,2811.9907,2949.2297,2796.3706,2854.8556,23835927706.498245,339291071404.68884
Sep-27-2021,2929.048132328178,2973.726,2806.0571583475507,2811.5444,25309393038.534798,341804480226.18866
Sep-26-2021,3066.1482,3163.7205776327773,2948.7074943100365,2948.7074943100365,28446766900.65248,361635229651.3271
Sep-25-2021,2933.932182620237,3166.9589,2753.8006,3067.592,28967767888.20601,348479150350.6003
